com.cubicfrog.edukitchen,Preschool EduKitchen Toddlers!,Cubic Frog® Apps,Google Store,All,Free,2014-08-29,No,Educational (Games),No,123253,,0.0,1352,,0.0
681846474,Musical instruments sounds flashcards and matching pairs game for kids and toddlers,Kidstatic Apps ApS,Apple App Store,"iPad, iPhone",Free,2013-09-23,Yes,"Music, Education",No,70454,,0.0,4135,,0.0
com.cubicfrog.edupaint,Preschool EduPaint Toddlers!,Cubic Frog® Apps,Google Store,All,Free,2014-08-29,No,Educational (Games),No,47373,,0.0,536,,0.0
869844446,Fruits and vegetables flashcards quiz and matching game for toddlers and kids in English,Kidstatic Apps ApS,Apple App Store,"iPad, iPhone",Free,2014-04-30,Yes,"Games, Education, Educational (Games), Family (Games)",No,41501,,0.0,2997,,0.0
375669988,Model Me Going Places 2,"Model Me Kids, LLC",Apple App Store,"iPad, iPhone",Free,2010-07-09,No,Education,Yes,31242,,0.0,0,,0.0
550027186,Autism Emotion,"Model Me Kids, LLC",Apple App Store,"iPad, iPhone",Free,2012-08-10,No,Education,No,20457,,0.0,0,,0.0
636843583,Conversation Therapy Lite - Questions for Expressive Language Pragmatics & Cognition,Tactus Therapy Solutions Ltd.,Apple App Store,"iPad, iPhone",Free,2013-05-26,No,"Medical, Education",No,20302,,0.0,0,,0.0
appinventor.ai_martinpx.Recettes_Minceur_Facile,Recettes Minceur Facile,PureLife Inc.,Google Store,All,Free,2014-11-11,No,Health and Fitness,No,15964,,0.0,0,,0.0
de.appnotize.letmetalk,LetMeTalk: Free AAC Talker,Appnotize UG,Google Store,All,Free,2014-09-25,Yes,Medical,No,15891,,0.0,119,,0.0
537549983,iSEQUENCES LITE,Fundación Planeta Imaginario,Apple App Store,iPad,Free,2012-07-09,No,"Games, Education, Educational (Games)",No,14954,,0.0,0,,0.0
com.eqidz.peppypals,Peppy Pals Farm - Friendship,Peppy Pals,Google Store,All,Paid,2014-08-29,No,Educational (Games),No,13189,,0.0,44810,,0.0
684261444,The Aspergers Test - Determine your Autism Spectrum Quotient using the AQ Diagnostic Assessment,Mark Blakey,Apple App Store,"iPad, iPhone",Free,2013-08-11,No,"Medical, Health & Fitness",No,12467,,0.0,0,,0.0
405441288,Speech with Milo: Verbs,Doonan Speech Therapy,Apple App Store,"iPad, iPhone",Paid,2010-12-02,No,Education,Yes,11282,,0.0,22440,,0.0
com.cauxprod.onmangequoi,On Mange Quoi ?,cauxprod,Google Store,All,Free,2014-10-01,No,Health and Fitness,No,10832,,0.0,0,,0.0
919990138,LetMeTalk,AppNotize UG (haftungsbeschraenkt),Apple App Store,"iPad, iPhone",Free,2014-10-19,No,"Medical, Education",No,9643,,0.0,0,,0.0
air.com.didacticapps.alexordena,Alex learns to sort,Didactic Apps,Google Store,All,Paid,2014-05-01,No,Educational (Games),No,9535,,0.0,21214,,0.0
733542401,PictoPlan,Carsten Rasmussen,Apple App Store,"iPad, iPhone",Free,2013-11-05,Yes,"Medical, Lifestyle",No,9186,,0.0,8512,,0.0
com.eqidz.peppybeach,Peppy Pals Beach - Friendship,Peppy Pals,Google Store,All,Paid,2015-02-23,No,Education,No,8684,,0.0,31725,,0.0
764527872,Volume Sanity,"Coin Development, LLC.",Apple App Store,"iPad, iPhone",Paid,2013-11-28,Yes,"Utilities, Entertainment",No,8446,,0.0,12787,,0.0
957106746,Peppy Pals Beach - Friendship Adventure,Peppy Pals AB,Apple App Store,"iPad, iPhone",Free,2015-02-09,No,"Education, Entertainment",No,8106,,0.0,4305,,0.0
com.didacticsapps.premiun2.alexaprendeavestirse,Alex learns how to dress Full,Didactic Apps,Google Store,All,Paid,2014-07-30,No,Educational (Games),No,8011,,0.0,26869,,0.0
506624913,iSEQUENCES,Fundación Planeta Imaginario,Apple App Store,iPad,Paid,2012-05-22,No,"Education, Entertainment",No,7869,,0.0,19907,,0.0
417190136,Speech with Milo: Prepositions,Doonan Speech Therapy,Apple App Store,"iPad, iPhone",Paid,2011-02-03,No,Education,No,7337,,0.0,14684,,0.0
492631520,Autism Asperger's Digest,Future Horizons,Apple App Store,"iPad, iPhone",Free,2012-01-10,Yes,"Education, Magazines & Newspapers",No,7128,,0.0,38561,,0.0
863344516,Fast ForWord Reading,Scientific Learning Corporation,Apple App Store,iPad,Free,2014-05-01,No,Education,No,6792,,0.0,0,,0.0
956768332,MemoAssist FREE,Hart Designs,Apple App Store,"iPad, iPhone",Free,2015-01-13,Yes,"Productivity, Utilities",No,6659,,0.0,3954,,0.0
com.eqidz.peppyfree,Peppy Pals Farm - Free,Peppy Pals,Google Store,All,Free,2014-08-29,No,Educational (Games),No,6205,,0.0,0,,0.0
com.cubicfrog.edukidsroomfull,EduKidsRoom-PreK&Toddler Games,Cubic Frog® Apps,Google Store,All,Paid,2015-08-18,No,Educational (Games),No,4978,,0.0,9680,,0.0
com.cubicfrog.edukitchenfull,EduKitchen -Toddler Fun Games,Cubic Frog® Apps,Google Store,All,Paid,2015-08-18,No,Educational (Games),No,4542,,0.0,6942,,0.0
896838914,Fast ForWord Literacy,Scientific Learning Corporation,Apple App Store,iPad,Free,2014-07-21,No,Education,No,4510,,0.0,0,,0.0
616179118,Stories to Tell,Anna Stam,Apple App Store,iPad,Paid,2013-05-30,No,"Education, Health & Fitness",No,3952,,0.0,16718,,0.0
620456076,Conversation Therapy - Questions for Expressive Language Pragmatics & Cognition,Tactus Therapy Solutions Ltd.,Apple App Store,"iPad, iPhone",Paid,2013-05-26,No,"Medical, Education",No,3884,,0.0,62280,,0.0
932337109,Touch and Speak: Autism Communication Tool and Methods of Speech Development for Kids with Special Needs,Indigo Kids,Apple App Store,iPad,Free,2015-01-08,Yes,"Games, Education, Educational (Games), Family (Games)",No,3429,,0.0,0,,0.0
apphouse.software.autismspeaks,AAC Autism myVoiceCommunicator,AppHouse Software,Google Store,All,Paid,2013-11-14,No,Education,No,3406,,0.0,10601,,0.0
919840697,Learn Number Tracing & Writing for Kindergarten First and Second Grade Kids FREE,Agnitus,Apple App Store,"iPad, iPhone",Free,2014-10-04,Yes,"Games, Education",No,3387,,0.0,0,,0.0
704606893,FriendMaker,Wiley Publishing,Apple App Store,"iPad, iPhone",Paid,2013-10-09,No,Education,No,3251,,0.0,1799,,0.0
570787918,Social Skill Builder: My School Day,"Social Skill Builder, Inc.",Apple App Store,"iPad, iPhone",Paid,2012-10-25,No,"Games, Education, Educational (Games), Family (Games)",Yes,3146,,0.0,21523,,0.0
923259717,Monster Preschool Tracing ABC Lines Doodling & Hand Writing Puzzle for 3 year old 4 year old & 5 year old kids in Preschool Montessori & Kindergarten : Halloween Theme FREE,Agnitus,Apple App Store,"iPad, iPhone",Free,2014-10-14,Yes,"Games, Education, Educational (Games), Family (Games)",No,3096,,0.0,0,,0.0
com.kuruntham.aspergerstest,AQ Aspergers Test,Mark Blakey,Google Store,All,Free,2014-08-29,No,Medical,No,2989,,0.0,0,,0.0
840919503,Peppy Pals Farm - Friendship Adventure,Peppy Pals AB,Apple App Store,"iPad, iPhone",Free,2014-04-07,No,"Education, Entertainment",Yes,2908,,0.0,6439,,0.0
com.chorohati.memory.food,brain games food memory,chorohati,Google Store,All,Free,2015-07-26,No,Role Playing (Games),No,2884,,0.0,0,,0.0
495102080,Speech With Milo - Adjectives,Doonan Speech Therapy,Apple App Store,"iPad, iPhone",Paid,2012-01-21,No,"Education, Entertainment",No,2689,,0.0,5343,,0.0
918454744,Preschool ABC Spelling Monsters: Phonic Sounds ABC Playtime Syllable Name & Sound Combination Game for 3 year old 4 year old & 5 year old kids FREE,Agnitus,Apple App Store,"iPad, iPhone",Free,2014-09-25,No,"Games, Education",No,2571,,0.0,0,,0.0
554328210,Shelby's Quest,Doodle Therapy Apps,Apple App Store,iPad,Paid,2012-09-06,No,"Medical, Education",Yes,2127,,0.0,7129,,0.0
1037370673,Pasta Maestro,Grand'Italia,Apple App Store,"iPad, iPhone",Free,2015-10-03,No,"Food & Drink, Lifestyle",Yes,2013,,0.0,0,,0.0
486116417,Social Skill Builder Lite,"Social Skill Builder, Inc.",Apple App Store,"iPad, iPhone",Paid,2011-12-13,Yes,"Games, Education, Educational (Games), Family (Games)",No,1977,,0.0,5036,,0.0
971311339,Social Skills for Autism,Doodle Creative,Apple App Store,"iPad, iPhone",Free,2015-04-20,No,"Education, Entertainment",No,1964,,0.0,552,,0.0
de.hardsoftco.autismawareness,Autism Awareness LW,HardSoftCo,Google Store,All,Paid,2013-04-13,No,Casual (Games),No,1848,,0.0,3675,,0.0
975189305,Social Detective,"Social Skill Builder, Inc.",Apple App Store,"iPad, iPhone",Paid,2015-04-24,No,Education,No,1846,,0.0,22320,,0.0
com.ik.autism_rfc1034identifier,Touch and Speak: Autism AAC,Indigo Kids,Google Store,All,Free,2014-12-17,Yes,Educational (Games),No,1782,,0.0,1054,,0.0
686934049,Voice Meter Pro,Peter Andrews,Apple App Store,"iPad, iPhone",Paid,2013-08-18,No,"Games, Education",No,1698,,0.0,2924,,0.0
com.milo.verbs,Speech with Milo: Verbs,Speech with Milo,Google Store,All,Paid,2013-09-24,No,Education,No,1607,,0.0,4765,,0.0
916156843,Preschool Tracing ABC Airplane Lines Doodling & Hand Writing Puzzle for 3 year old 4 year old & 5 year old kids in Preschool Montessori & Kindergarten FREE,Agnitus,Apple App Store,"iPad, iPhone",Free,2014-09-25,Yes,"Games, Education, Educational (Games), Family (Games)",No,1556,,0.0,0,,0.0
528569793,Communicate Easy - Autism App for iPad for Special Needs Communication,Pluja Apps Limited,Apple App Store,iPad,Paid,2012-07-17,No,"Medical, Education",No,1527,,0.0,4161,,0.0
899522586,I Can Have Conversations With You!™,"Autism Breakthrough Solutions, LLC",Apple App Store,iPad,Paid,2015-02-04,No,Education,No,1516,,0.0,21286,,0.0
531965995,Fruits Légumes et Plantes Santé,Hatim hatim,Apple App Store,"iPad, iPhone",Paid,2012-06-07,No,"Health & Fitness, Lifestyle",No,1364,,0.0,929,,0.0
324643198,iReward,Grembe Inc.,Apple App Store,"iPad, iPhone",Paid,2009-07-31,No,"Education, Lifestyle",Yes,1268,,0.0,2519,,0.0
562582441,Sono Flex Lite BP,Tobii Dynavox LLC,Apple App Store,"iPad, iPhone",Free,2012-10-10,No,Education,No,1263,,0.0,0,,0.0
com.agnitus.play.tracinglineshalloweeen.halloween.paid,Write Learn ABC Letter Tracing,Agnitus,Google Store,All,Paid,2014-10-16,No,Educational (Games),No,1185,,0.0,2345,,0.0
919865367,Block Stack : Shape & Logic Puzzle by Agnitus for Toddlers Preschool Kindergarten & First Grade Kids FREE,Agnitus,Apple App Store,"iPad, iPhone",Free,2014-10-04,No,"Games, Education, Educational (Games), Puzzle (Games)",No,1179,,0.0,0,,0.0
456376682,Knock Knock Numbers -  Joke Telling and Conversations Tool for Autism Aspergers Down Syndrome & Special Education,Touch Autism,Apple App Store,"iPad, iPhone",Paid,2011-08-19,No,"Games, Education, Educational (Games)",No,1030,,0.0,2135,,0.0
com.shailah.BuZooStoryPaid,A BuZoo Story,Shailah Interactive,Google Store,All,Paid,2013-04-16,No,Educational (Games),No,927,,0.0,13425,,0.0
com.rescue.kloog,Social Skills for Autism,Shine Centre for Autism,Google Store,All,Free,2015-03-31,No,Education,No,920,,0.0,4242,,0.0
696517737,Social Skills Play – Interactive and fun social scenarios for Preschool Autism Aspergers Down Syndrome and Special Needs.,Master Social Skills Pty Ltd,Apple App Store,"iPad, iPhone",Paid,2013-11-20,No,"Reference, Education",No,896,,0.0,1835,,0.0
